1,347
2,697
3,337
4,171
5,521
6,281
7,652
8,335
9,166
10,319
11,650
12,321
13,191
14,635
15,1020
16,286
17,416
18,309
19,631
20,291
21,171
22,599
23,917
24,250
25,365
26,633
27,719
28,344
29,459
30,309
31,689
32,344
33,197
34,295
35,657
36,309
37,296
38,709
39,293
40,289
41,659
42,335
43,174
44,628
45,1049
46,286
47,342
48,325
49,342
50,350
51,672
52,296
53,173
54,543
55,1044
56,271
57,407
58,315
59,665
60,322
61,163
62,559
63,347
64,343
65,639
66,289
67,164
68,630
69,300
70,608
71,295
72,309
73,651
74,305
75,197
76,597
77,939
78,348
79,642
80,290
81,347
82,713
83,338
84,185
85,307
86,295
87,613
88,281
89,185
90,650
91,938
92,262
93,339
94,350
95,615
96,328
97,320
98,626
99,303
100,698
101,283
102,177
103,329
104,683
105,303
106,336
107,705
108,322
109,616
110,286
111,197
112,641
113,1031
114,284
115,367
116,324
117,644
118,284
119,285
120,662
121,289
122,160
123,564
124,348
125,319
126,731
127,325
128,319
129,316
130,728
131,339
132,196
133,575
134,897
135,252
136,372
137,653
138,733
139,397
140,307
141,333
142,705
143,348
144,161
145,586
146,879
147,324
148,329
149,660
150,329
151,743
152,338
153,188
154,559
155,874
156,267
157,322
158,301
159,750
160,287
161,658
162,326
163,167
164,536
165,860
166,329
167,608
168,298
169,163
170,632
171,1032
172,283
173,398
174,670
175,685
176,381
177,471
178,330
179,337
180,620
181,309
182,331
183,647
184,287
185,182
186,340
187,639
188,307
189,290
190,637
191,345
192,190
193,616
194,989
195,260
196,342
197,724
198,302
199,168
200,646
201,910
202,270
203,380
204,333
205,635
206,319
207,179
208,584
209,845
210,287
211,616
212,288
213,165
214,648
215,921
216,247
217,420
218,321
219,342
220,671
221,333
222,170
223,622
224,866
225,288
226,374
227,624
228,769
229,327
230,498
231,284
232,634
233,294
234,317
235,619
236,343
237,181
238,530
239,885
240,246
241,308
242,291
243,304
244,672
245,339
246,199
247,599
248,855
249,280
250,628
251,336
252,333
253,696
254,284
255,192
256,597
257,850
258,293
259,693
260,336
261,293
262,749
263,322
264,188
265,551
266,322
267,685
268,316
269,200
270,577
271,332
272,300
273,280
274,707
275,307
276,0
277,95
